user_id,watch_count,unique_movies,total_watch_time,avg_watch_time,watch_days,recent_watch_count,days_since_last_watch,avg_progress,completion_rate,download_ratio,avg_rating,last_watch_date_ref
user_00001,13,12,643.2,49.47692307692308,12,,62,63.12307692307692,0.3076923076923077,0.38461538461538464,3.0,2025-12-31
user_00002,15,15,713.4,47.559999999999995,14,,33,49.980000000000004,0.13333333333333333,0.26666666666666666,3.3333333333333335,2025-12-31
user_00003,9,8,660.9,73.43333333333334,8,,190,33.64444444444444,0.0,0.2222222222222222,4.0,2025-12-31
user_00004,15,13,1146.7,76.44666666666667,14,1.0,2,41.406666666666666,0.0,0.2,4.333333333333333,2025-12-31
user_00005,10,9,480.79999999999995,48.08,9,,103,50.89,0.1,0.2,4.0,2025-12-31
user_00006,12,11,447.8,37.31666666666667,11,1.0,31,63.583333333333336,0.16666666666666666,0.4166666666666667,2.3333333333333335,2025-12-31
user_00007,12,12,662.2,55.18333333333334,12,1.0,1,31.491666666666664,0.0,0.25,4.5,2025-12-31
user_00008,11,11,409.9,37.26363636363636,11,,34,38.79090909090909,0.0,0.09090909090909091,3.3333333333333335,2025-12-31
user_00009,7,7,388.0,55.42857142857143,7,,38,40.5,0.0,0.0,5.0,2025-12-31
user_00010,9,8,589.9,65.54444444444444,8,,43,59.78888888888889,0.2222222222222222,0.2222222222222222,2.0,2025-12-31
user_00011,13,13,726.4,55.87692307692308,13,1.0,25,22.107692307692307,0.0,0.07692307692307693,1.0,2025-12-31
user_00012,16,15,599.6,37.475,15,,91,46.40625,0.125,0.1875,5.0,2025-12-31
user_00013,11,11,772.3,70.2090909090909,11,1.0,23,41.77272727272727,0.09090909090909091,0.0,4.0,2025-12-31
user_00014,12,12,767.6,63.96666666666667,12,,44,60.050000000000004,0.25,0.25,3.3333333333333335,2025-12-31
user_00015,9,9,530.2,58.91111111111112,9,,135,41.65555555555555,0.1111111111111111,0.0,2.5,2025-12-31
user_00016,8,8,270.7,33.8375,8,,102,53.9,0.125,0.25,4.333333333333333,2025-12-31
user_00017,10,9,532.4,53.239999999999995,10,1.0,21,42.51,0.1,0.4,4.0,2025-12-31
user_00018,8,8,392.0,49.0,8,,61,49.875,0.0,0.125,3.0,2025-12-31
user_00019,16,15,1154.3,72.14375,14,3.0,21,48.55625,0.0625,0.1875,2.5,2025-12-31
user_00020,11,10,531.4,48.309090909090905,10,2.0,14,53.690909090909095,0.09090909090909091,0.0,2.3333333333333335,2025-12-31
user_00021,9,9,225.4,25.044444444444444,9,,315,58.57777777777778,0.3333333333333333,0.1111111111111111,3.0,2025-12-31
user_00022,14,13,832.0,59.42857142857143,13,1.0,26,44.121428571428574,0.0,0.21428571428571427,3.6666666666666665,2025-12-31
user_00023,17,16,1837.1000000000001,108.06470588235295,16,2.0,12,49.76470588235294,0.17647058823529413,0.29411764705882354,3.0,2025-12-31
